iter	Logloss
0	0.673031658
1	0.6582931417
2	0.6413373579
3	0.6267884093
4	0.6150338193
5	0.5988569505
6	0.5860830275
7	0.5734709465
8	0.5616035653
9	0.5507407706
10	0.5388119342
11	0.5264273525
12	0.5191433239
13	0.5104236256
14	0.5016788369
15	0.495469733
16	0.4896571265
17	0.4808284188
18	0.4723730495
19	0.4656953222
20	0.4613140624
21	0.453677985
22	0.448859633
23	0.4438187872
24	0.4371742147
25	0.4327706733
26	0.4274521727
27	0.4214705303
28	0.4160824348
29	0.4116520917
30	0.4073682625
31	0.4012053279
32	0.3970893766
33	0.390893655
34	0.3868677056
35	0.383666572
36	0.3799968562
37	0.3768569062
38	0.3726554156
39	0.3691778143
40	0.3655939387
41	0.3616921456
42	0.3580472392
43	0.3556024007
44	0.3520438163
45	0.3493384369
46	0.3456438647
47	0.3432384905
48	0.3400849068
49	0.3353309019
50	0.333373447
51	0.3299439871
52	0.327971125
53	0.3252567263
54	0.3233230121
55	0.3206789531
56	0.3180868492
57	0.3160874849
58	0.3140488929
59	0.312712362
60	0.3109794619
61	0.308199351
62	0.3058535229
63	0.3034111402
64	0.3007186241
65	0.2988902302
66	0.2974293171
67	0.2951830219
68	0.291726711
69	0.2903606402
70	0.2882470508
71	0.2863626575
72	0.2847011152
73	0.2830881108
74	0.280516315
75	0.2788446329
76	0.2761504514
77	0.2749231301
78	0.2733596745
79	0.2722927382
80	0.2709836247
81	0.2698701054
82	0.2683075478
83	0.2669109946
84	0.2647335867
85	0.2634292762
86	0.2621910245
87	0.2605138164
88	0.2594739674
89	0.2585352413
90	0.2569048792
91	0.2560202131
92	0.2543659027
93	0.2517454904
94	0.2506967507
95	0.2494585657
96	0.2473778514
97	0.2461214578
98	0.2449922964
99	0.2443683022
100	0.2436926426
101	0.2431050848
102	0.2418183769
103	0.2409622385
104	0.2403718472
105	0.2383217929
106	0.2374950529
107	0.2355807842
108	0.2347996947
109	0.2339093586
110	0.2323557837
111	0.2311309695
112	0.230030722
113	0.2292299288
114	0.2286090309
115	0.2266664908
116	0.225646926
117	0.2250196375
118	0.224204538
119	0.2233188061
120	0.2222564172
121	0.2217455142
122	0.2206488346
123	0.2184008681
124	0.2174793121
125	0.2155647986
126	0.2149141422
127	0.2132945007
128	0.212056415
129	0.2102405734
130	0.2091021523
131	0.2083464246
132	0.2081745703
133	0.2075414704
134	0.2065361289
135	0.2056144951
136	0.2050038764
137	0.2043997857
138	0.2039071408
139	0.2022817725
140	0.201315565
141	0.2001301114
142	0.1991370267
143	0.1982389754
144	0.1971620994
145	0.1953998551
146	0.1943253766
147	0.1933228542
148	0.1923080142
149	0.1908673134
150	0.1900430613
151	0.1895705971
152	0.1885998186
153	0.1879383688
154	0.187254372
155	0.1858131438
156	0.1847201519
157	0.1834392726
158	0.1827037171
159	0.1819669962
160	0.181450975
161	0.1806782775
162	0.1788436513
163	0.178087024
164	0.1778216968
165	0.1774634784
166	0.1766112929
167	0.1753497312
168	0.1740266156
169	0.1731058678
170	0.1723177535
171	0.1715993645
172	0.1704718829
173	0.1694360327
174	0.1688268603
175	0.1682590712
176	0.1673706959
177	0.1671942285
178	0.1666458425
179	0.1660139121
180	0.1652719019
181	0.164359391
182	0.163520187
183	0.1627134303
184	0.1620158025
185	0.1615713426
186	0.1606615145
187	0.1597244164
188	0.1590018432
189	0.1585645942
190	0.1578091465
191	0.1570802404
192	0.1561038474
193	0.1554806486
194	0.1540805765
195	0.1528199107
196	0.1519209167
197	0.151310506
198	0.1508391629
199	0.1496335946
200	0.1492112078
201	0.1478834579
202	0.147455521
203	0.1469945111
204	0.1465745091
205	0.1461485528
206	0.1453563881
207	0.1445212871
208	0.1440519814
209	0.1429786512
210	0.1422463351
211	0.1417029997
212	0.1411667339
213	0.1406125983
214	0.1404203496
215	0.1397433427
216	0.139391518
217	0.138709042
218	0.1379513817
219	0.1373349966
220	0.1369068307
221	0.1358840638
222	0.1353205066
223	0.1346872655
224	0.134025548
225	0.1332862922
226	0.13230117
227	0.1317492963
228	0.1313780976
229	0.1308181413
230	0.130013394
231	0.1294414849
232	0.1291822638
233	0.1287399241
234	0.1282233774
235	0.1277851925
236	0.127082857
237	0.12659562
238	0.1257632009
239	0.1251040059
240	0.1246234614
241	0.1241409403
242	0.1240548597
243	0.1237159607
244	0.1233935016
245	0.1229733277
246	0.1226672453
247	0.1223734335
248	0.1212761712
249	0.1208530154
250	0.1206481106
251	0.1203810701
252	0.1199324488
253	0.119694524
254	0.119251901
255	0.1189120626
256	0.1183836617
257	0.1180243767
258	0.1171182506
259	0.1166971964
260	0.1160823441
261	0.1155050725
262	0.1149808955
263	0.1147903852
264	0.1145803173
265	0.1141219342
266	0.1139093313
267	0.1133999722
268	0.1131493229
269	0.1125883
270	0.1117884359
271	0.1114429624
272	0.1112473227
273	0.1108840435
274	0.1101924127
275	0.1095679557
276	0.1092413254
277	0.1091046285
278	0.1089398757
279	0.1084146623
280	0.1080641943
281	0.1071379819
282	0.1070036781
283	0.1064568812
284	0.1062562114
285	0.1055126834
286	0.1052463209
287	0.1050857758
288	0.1045022362
289	0.1042072145
290	0.103996839
291	0.1035921063
292	0.103337638
293	0.1026565626
294	0.1024298484
295	0.1022828693
296	0.101990751
297	0.1018351175
298	0.1016263584
299	0.1012110799
300	0.1010076491
301	0.1005870287
302	0.1000460611
303	0.09980883255
304	0.0994719225
305	0.09902237341
306	0.09830753153
307	0.09775211067
308	0.09716769862
309	0.09685500047
310	0.09634560767
311	0.09607053766
312	0.0958901098
313	0.09529223588
314	0.09503052885
315	0.09487736155
316	0.09464588514
317	0.0942915542
318	0.09421973475
319	0.09409561621
320	0.09375334891
321	0.09347237882
322	0.09333613617
323	0.09298818538
324	0.09259356236
325	0.09209229781
326	0.09190786603
327	0.09107921701
328	0.09100849935
329	0.09066107121
330	0.09056110339
331	0.09044680491
332	0.09033107064
333	0.0897006001
334	0.08920641192
335	0.08888831721
336	0.08854664954
337	0.08825457628
338	0.08821451462
339	0.08808504679
340	0.08760677415
341	0.08697531468
342	0.08638395996
343	0.08561035054
344	0.08547789128
345	0.08522562028
346	0.08498335588
347	0.08486414667
348	0.08428050502
349	0.08407107058
350	0.08378307124
351	0.08364402268
352	0.08352637089
353	0.08327107696
354	0.08281464767
355	0.08223105367
356	0.0820234547
357	0.08177052058
358	0.08113923327
359	0.08071039703
360	0.08044859028
361	0.08032108925
362	0.08017822184
363	0.07982639175
364	0.07934289869
365	0.0790469791
366	0.07889633203
367	0.0783915323
368	0.07800669281
369	0.07783604417
370	0.07751398612
371	0.07714840547
372	0.07693873322
373	0.07636662354
374	0.075927557
375	0.07536340769
376	0.07506276681
377	0.07465279572
378	0.07421854568
379	0.07390282191
380	0.07344703053
381	0.07317799064
382	0.07290346077
383	0.07264625916
384	0.07240064729
385	0.07205068041
386	0.07166838227
387	0.07145646428
388	0.07119629838
389	0.07076648895
390	0.07060984354
391	0.07033656567
392	0.06990110798
393	0.06966629996
394	0.06943871975
395	0.06931115738
396	0.06902042076
397	0.06867727157
398	0.06847646238
399	0.06807589398
400	0.06783409328
401	0.06773488202
402	0.06745277423
403	0.06732230286
404	0.06692522975
405	0.06670999827
406	0.066269976
407	0.06600939084
408	0.06584781194
409	0.06547452989
410	0.06522062492
411	0.06483877218
412	0.06460224142
413	0.06438687571
414	0.06424997116
415	0.06417051047
416	0.06398963969
417	0.06357888715
418	0.06343918859
419	0.06324250614
420	0.06290056155
421	0.06269956673
422	0.06244451533
423	0.0622150927
424	0.06181000089
425	0.06172636536
426	0.06143752392
427	0.06109184549
428	0.06060970612
429	0.06043753815
430	0.06037387956
431	0.06022068482
432	0.05996274342
433	0.05958031823
434	0.05955697826
435	0.05926094628
436	0.05908598465
437	0.05891074386
438	0.05885337084
439	0.05864888746
440	0.05844344273
441	0.05825466866
442	0.05805800932
443	0.05775366391
444	0.05764213645
445	0.05742932534
446	0.05728008561
447	0.05693926042
448	0.05688046207
449	0.05680652805
450	0.05647723515
451	0.05641255878
452	0.05609359403
453	0.05607587231
454	0.05574993351
455	0.05555665651
456	0.05539770149
457	0.05529181852
458	0.05502887183
459	0.05485966966
460	0.05481166107
461	0.05464488205
462	0.05434243038
463	0.05402961374
464	0.05374387123
465	0.05366092373
466	0.05353699848
467	0.05332038614
468	0.05322356163
469	0.05297481022
470	0.05277071863
471	0.05263215795
472	0.05243302438
473	0.05226704884
474	0.05199763169
475	0.05190541622
476	0.05175753375
477	0.05158457867
478	0.05145395225
479	0.05128593531
480	0.05106513665
481	0.0508842492
482	0.05075118119
483	0.05062750496
484	0.05058312678
485	0.05045442789
486	0.05036049349
487	0.05025228911
488	0.05023311321
489	0.05009730171
490	0.05007088799
491	0.04997991563
492	0.04989786832
493	0.04978208032
494	0.04965732952
495	0.04952023784
496	0.04941257092
497	0.04936367302
498	0.04925666227
499	0.04912216503
500	0.04895842207
501	0.04894695267
502	0.04891961284
503	0.04870597885
504	0.04852604537
505	0.04840452829
506	0.04834280144
507	0.04814712117
508	0.0481194133
509	0.0479763253
510	0.04785522321
511	0.04753389114
512	0.04736003728
513	0.04715513753
514	0.04699290091
515	0.04694368626
516	0.04685532084
517	0.04675832783
518	0.04664494922
519	0.04654965824
520	0.0463943697
521	0.04635623736
522	0.04619667904
523	0.04616430047
524	0.04590525035
525	0.04568330963
526	0.04545105681
527	0.04528285535
528	0.04520681461
529	0.04511275451
530	0.04497002421
531	0.04487654417
532	0.0446691497
533	0.04452914049
534	0.04427245344
535	0.04405432219
536	0.04389356188
537	0.04380219522
538	0.04372405684
539	0.04357983658
540	0.04336714365
541	0.04323536182
542	0.04306636047
543	0.04293264467
544	0.04274828128
545	0.04265842295
546	0.04258280799
547	0.04246274858
548	0.04229210586
549	0.042189057
550	0.04197523665
551	0.04180230788
552	0.04177145417
553	0.04174789323
554	0.04169134733
555	0.04155898362
556	0.04144964461
557	0.04129412734
558	0.04123118706
559	0.04114386543
560	0.04110972629
561	0.04100519504
562	0.04089708654
563	0.04072465782
564	0.04063302225
565	0.04049438134
566	0.04043505088
567	0.04024343811
568	0.04006947648
569	0.04003731986
570	0.04001906921
571	0.03982031186
572	0.03972585955
573	0.03953939716
574	0.03939774135
575	0.03927389436
576	0.03917134672
577	0.03902979415
578	0.03891195068
579	0.03869572782
580	0.03864256563
581	0.03860447007
582	0.03849094815
583	0.0384456742
584	0.03826618352
585	0.03824774771
586	0.03819719933
587	0.03800149563
588	0.03787505813
589	0.03782304132
590	0.03761031915
591	0.03756732729
592	0.03739436024
593	0.03724205837
594	0.03722210937
595	0.03720423088
596	0.03710034174
597	0.03694970837
598	0.03678740177
599	0.03670006669
600	0.03657836803
601	0.03652484636
602	0.03644107162
603	0.03641698351
604	0.03629998182
605	0.03625753954
606	0.03617575799
607	0.03615220317
608	0.03610224302
609	0.03596175518
610	0.03583596003
